çﬁóø,,,,,,,,
Material,Young[Mpa],Poisson,Thickness[mm],,,,,
1,210000,0,0.01,,,,,
êﬂì_,,,,,,,,
Node,X[mm],Y[mm], ConstraintX[mm], ConstraintY[mm], DisplacementX[mm], DisplacementY[mm], ForceX[N], ForceY[N]
1,0,0, True, True,0,0,0,0
2,5,0, False, False,0,0,0,0
3,10,0, False, False,0,0,0,0
4,15,0, False, False,0,0,0,0
5,20,0, False, False,0,0,0,0
6,25,0, False, False,0,0,0,0
7,30,0, False, False,0,0,0,0
8,35,0, False, False,0,0,0,0
9,40,0, False, False,0,0,0,0
10,45,0, False, False,0,0,0,0
11,50,0, False, False,0,0,0,0
12,0,0.5, True, True,0,0,0,0
13,5,0.5, False, False,0,0,0,0
14,10,0.5, False, False,0,0,0,0
15,15,0.5, False, False,0,0,0,0
16,20,0.5, False, False,0,0,0,0
17,25,0.5, False, False,0,0,0,0
18,30,0.5, False, False,0,0,0,0
19,35,0.5, False, False,0,0,0,0
20,40,0.5, False, False,0,0,0,0
21,45,0.5, False, False,0,0,0,0
22,50,0.5, False, False,0,0,0,0
23,0,1, True, True,0,0,0,0
24,5,1, False, False,0,0,0,0
25,10,1, False, False,0,0,0,0
26,15,1, False, False,0,0,0,0
27,20,1, False, False,0,0,0,0
28,25,1, False, False,0,0,0,0
29,30,1, False, False,0,0,0,0
30,35,1, False, False,0,0,0,0
31,40,1, False, False,0,0,0,0
32,45,1, False, False,0,0,0,0
33,50,1, False, False,0,0,0,-0.1
34,0,1.5, True, True,0,0,0,0
35,5,1.5, False, False,0,0,0,0
36,10,1.5, False, False,0,0,0,0
37,15,1.5, False, False,0,0,0,0
38,20,1.5, False, False,0,0,0,0
39,25,1.5, False, False,0,0,0,0
40,30,1.5, False, False,0,0,0,0
41,35,1.5, False, False,0,0,0,0
42,40,1.5, False, False,0,0,0,0
43,45,1.5, False, False,0,0,0,0
44,50,1.5, False, False,0,0,0,0
45,0,2, True, True,0,0,0,0
46,5,2, False, False,0,0,0,0
47,10,2, False, False,0,0,0,0
48,15,2, False, False,0,0,0,0
49,20,2, False, False,0,0,0,0
50,25,2, False, False,0,0,0,0
51,30,2, False, False,0,0,0,0
52,35,2, False, False,0,0,0,0
53,40,2, False, False,0,0,0,0
54,45,2, False, False,0,0,0,0
55,50,2, False, False,0,0,0,0
óvëf,,,,,,,,
Element,Node1,Node2,Node3,Node4,Material,,,
1,1,2,13,12,1,,,
2,2,3,14,13,1,,,
3,3,4,15,14,1,,,
4,4,5,16,15,1,,,
5,5,6,17,16,1,,,
6,6,7,18,17,1,,,
7,7,8,19,18,1,,,
8,8,9,20,19,1,,,
9,9,10,21,20,1,,,
10,10,11,22,21,1,,,
11,12,13,24,23,1,,,
12,13,14,25,24,1,,,
13,14,15,26,25,1,,,
14,15,16,27,26,1,,,
15,16,17,28,27,1,,,
16,17,18,29,28,1,,,
17,18,19,30,29,1,,,
18,19,20,31,30,1,,,
19,20,21,32,31,1,,,
20,21,22,33,32,1,,,
21,23,24,35,34,1,,,
22,24,25,36,35,1,,,
23,25,26,37,36,1,,,
24,26,27,38,37,1,,,
25,27,28,39,38,1,,,
26,28,29,40,39,1,,,
27,29,30,41,40,1,,,
28,30,31,42,41,1,,,
29,31,32,43,42,1,,,
30,32,33,44,43,1,,,
31,34,35,46,45,1,,,
32,35,36,47,46,1,,,
33,36,37,48,47,1,,,
34,37,38,49,48,1,,,
35,38,39,50,49,1,,,
36,39,40,51,50,1,,,
37,40,41,52,51,1,,,
38,41,42,53,52,1,,,
39,42,43,54,53,1,,,
40,43,44,55,54,1,,,
